X1,X2,X3,X4,X5,X6,classe_CA,classe_CB,classe_CC,classe_CD,classe_CE
1,19,35,28,17,4,1,0,0,0,0
4,22,38,32,14,9,1,0,0,0,0
-2,16,39,29,21,5,1,0,0,0,0
-2,22,33,32,22,1,1,0,0,0,0
-1,16,33,26,16,7,1,0,0,0,0
0,18,36,26,20,9,1,0,0,0,0
-1,22,36,27,20,8,1,0,0,0,0
-1,24,33,26,20,2,1,0,0,0,0
4,18,35,25,15,2,1,0,0,0,0
0,18,35,31,22,3,1,0,0,0,0
3,23,32,29,15,4,1,0,0,0,0
1,23,35,32,17,2,1,0,0,0,0
1,23,35,25,16,2,1,0,0,0,0
6,22,38,31,21,9,1,0,0,0,0
-2,21,36,25,21,6,1,0,0,0,0
6,24,38,29,16,2,1,0,0,0,0
-2,16,34,32,17,1,1,0,0,0,0
4,23,32,26,16,5,1,0,0,0,0
-1,23,35,26,18,7,1,0,0,0,0
2,17,37,32,15,9,1,0,0,0,0
1,19,38,26,17,1,1,0,0,0,0
-2,24,32,28,20,3,1,0,0,0,0
5,16,36,28,15,5,1,0,0,0,0
-1,20,40,31,18,3,1,0,0,0,0
6,16,34,28,17,9,1,0,0,0,0
5,20,35,28,22,1,1,0,0,0,0
6,16,36,33,18,4,1,0,0,0,0
5,17,38,26,17,4,1,0,0,0,0
3,20,32,28,18,7,1,0,0,0,0
0,16,33,31,15,9,1,0,0,0,0
-1,20,37,27,16,3,1,0,0,0,0
2,20,40,32,14,6,1,0,0,0,0
-2,24,33,26,16,5,1,0,0,0,0
-2,16,35,25,14,3,1,0,0,0,0
0,20,34,32,19,4,1,0,0,0,0
3,16,38,26,20,9,1,0,0,0,0
-1,19,35,28,18,7,1,0,0,0,0
2,20,39,25,17,6,1,0,0,0,0
-1,23,33,27,22,6,1,0,0,0,0
0,21,38,29,20,7,1,0,0,0,0
5,19,33,31,14,8,1,0,0,0,0
0,23,32,27,19,6,1,0,0,0,0
-2,23,33,27,19,7,1,0,0,0,0
4,24,35,29,16,8,1,0,0,0,0
0,19,33,31,17,3,1,0,0,0,0
-1,20,37,25,21,3,1,0,0,0,0
-1,17,34,28,17,3,1,0,0,0,0
1,22,40,29,22,2,1,0,0,0,0
-1,20,33,33,19,9,1,0,0,0,0
3,20,39,33,22,3,1,0,0,0,0
4,21,33,29,20,3,1,0,0,0,0
6,19,33,25,21,8,1,0,0,0,0
-2,18,37,33,14,7,1,0,0,0,0
-2,17,39,32,20,9,1,0,0,0,0
-2,23,34,33,18,3,1,0,0,0,0
1,21,33,27,18,7,1,0,0,0,0
5,22,40,26,21,7,1,0,0,0,0
3,16,37,31,17,9,1,0,0,0,0
5,18,36,28,18,6,1,0,0,0,0
-1,19,39,25,20,7,1,0,0,0,0
4,18,33,27,22,2,1,0,0,0,0
3,18,35,29,16,9,1,0,0,0,0
2,21,33,27,15,1,1,0,0,0,0
6,24,37,30,16,4,1,0,0,0,0
4,20,32,25,14,7,1,0,0,0,0
3,17,36,26,16,4,1,0,0,0,0
1,24,36,26,17,4,1,0,0,0,0
1,17,40,31,15,5,1,0,0,0,0
-1,23,33,27,18,3,1,0,0,0,0
5,17,33,31,21,8,1,0,0,0,0
3,24,38,31,19,7,1,0,0,0,0
3,19,38,27,14,6,1,0,0,0,0
5,23,38,28,20,8,1,0,0,0,0
0,17,35,32,18,1,1,0,0,0,0
-1,22,40,26,16,8,1,0,0,0,0
1,20,35,31,19,4,1,0,0,0,0
0,17,32,29,14,8,1,0,0,0,0
0,20,39,32,20,3,1,0,0,0,0
-1,22,38,31,22,8,1,0,0,0,0
1,17,40,32,19,3,1,0,0,0,0
2,21,37,33,22,6,1,0,0,0,0
4,24,37,33,15,5,1,0,0,0,0
5,21,35,31,21,1,1,0,0,0,0
2,19,39,29,22,1,1,0,0,0,0
0,22,37,33,14,5,1,0,0,0,0
4,16,36,26,18,9,1,0,0,0,0
0,22,32,29,15,2,1,0,0,0,0
2,16,33,27,19,2,1,0,0,0,0
5,23,38,33,16,8,1,0,0,0,0
-1,19,33,27,14,4,1,0,0,0,0
0,17,32,27,16,7,1,0,0,0,0
-2,21,39,32,14,2,1,0,0,0,0
0,18,37,30,15,3,1,0,0,0,0
6,17,38,29,15,7,1,0,0,0,0
5,20,40,28,19,3,1,0,0,0,0
0,17,32,26,21,5,1,0,0,0,0
-2,21,37,31,19,3,1,0,0,0,0
1,19,37,30,19,5,1,0,0,0,0
0,22,34,30,22,9,1,0,0,0,0
6,21,37,29,16,2,1,0,0,0,0
0,18,32,28,22,8,1,0,0,0,0
3,18,36,32,14,8,1,0,0,0,0
5,16,36,31,19,1,1,0,0,0,0
5,17,39,33,14,1,1,0,0,0,0
3,16,39,32,14,8,1,0,0,0,0
6,20,37,31,21,5,1,0,0,0,0
4,21,33,25,22,6,1,0,0,0,0
-2,19,33,26,19,1,1,0,0,0,0
6,23,38,29,16,6,1,0,0,0,0
-1,21,33,32,17,3,1,0,0,0,0
6,22,33,27,14,1,1,0,0,0,0
3,19,35,27,17,2,1,0,0,0,0
-1,23,34,29,14,1,1,0,0,0,0
6,17,32,33,15,3,1,0,0,0,0
5,19,34,32,19,8,1,0,0,0,0
5,19,32,26,16,8,1,0,0,0,0
6,19,39,25,21,1,1,0,0,0,0
5,19,35,33,19,9,1,0,0,0,0
-1,20,37,33,17,3,1,0,0,0,0
6,20,32,29,20,1,1,0,0,0,0
-1,24,35,27,21,2,1,0,0,0,0
6,16,32,31,14,5,1,0,0,0,0
0,19,40,30,21,6,1,0,0,0,0
0,16,35,28,19,9,1,0,0,0,0
0,20,33,31,18,8,1,0,0,0,0
4,21,40,30,18,2,1,0,0,0,0
3,21,38,30,15,1,1,0,0,0,0
5,24,37,32,16,7,1,0,0,0,0
4,19,36,28,21,8,1,0,0,0,0
2,18,34,30,14,2,1,0,0,0,0
84,40,16,72,99,48,0,1,0,0,0
83,46,20,72,101,50,0,1,0,0,0
86,45,19,71,104,47,0,1,0,0,0
83,44,22,69,104,52,0,1,0,0,0
87,46,22,68,102,51,0,1,0,0,0
81,42,12,76,98,50,0,1,0,0,0
89,46,20,71,102,51,0,1,0,0,0
90,44,12,73,103,52,0,1,0,0,0
90,40,18,71,96,50,0,1,0,0,0
80,41,16,74,97,51,0,1,0,0,0
88,41,14,78,96,44,0,1,0,0,0
89,42,19,70,101,49,0,1,0,0,0
88,39,19,68,103,52,0,1,0,0,0
86,43,13,74,104,48,0,1,0,0,0
85,46,21,71,104,49,0,1,0,0,0
83,46,15,76,95,46,0,1,0,0,0
80,39,19,75,95,51,0,1,0,0,0
86,41,16,77,102,52,0,1,0,0,0
84,41,12,76,102,44,0,1,0,0,0
86,45,16,74,103,54,0,1,0,0,0
87,45,12,78,95,47,0,1,0,0,0
81,36,15,68,97,44,0,1,0,0,0
82,41,18,73,97,54,0,1,0,0,0
82,41,12,75,95,47,0,1,0,0,0
90,37,22,77,97,51,0,1,0,0,0
84,39,22,77,99,44,0,1,0,0,0
86,46,13,75,100,45,0,1,0,0,0
81,42,18,78,97,51,0,1,0,0,0
85,45,16,76,100,50,0,1,0,0,0
85,38,21,70,103,54,0,1,0,0,0
87,44,14,78,104,45,0,1,0,0,0
89,37,15,72,103,46,0,1,0,0,0
83,42,19,71,101,49,0,1,0,0,0
88,39,17,70,96,53,0,1,0,0,0
82,39,12,76,100,50,0,1,0,0,0
86,39,22,70,101,53,0,1,0,0,0
89,39,19,69,98,49,0,1,0,0,0
80,46,17,72,97,45,0,1,0,0,0
90,40,20,71,104,51,0,1,0,0,0
87,39,16,72,97,47,0,1,0,0,0
83,42,17,78,103,51,0,1,0,0,0
80,40,18,68,96,53,0,1,0,0,0
86,43,18,74,95,47,0,1,0,0,0
81,43,21,76,104,46,0,1,0,0,0
89,36,20,68,100,51,0,1,0,0,0
82,36,17,68,103,48,0,1,0,0,0
81,38,22,78,99,53,0,1,0,0,0
84,44,13,72,98,46,0,1,0,0,0
82,44,16,78,101,47,0,1,0,0,0
80,42,21,78,96,50,0,1,0,0,0
83,40,15,68,103,45,0,1,0,0,0
86,40,19,69,96,48,0,1,0,0,0
90,45,22,72,101,49,0,1,0,0,0
84,40,22,78,102,44,0,1,0,0,0
86,45,14,70,95,48,0,1,0,0,0
84,39,15,71,102,48,0,1,0,0,0
87,42,19,71,102,52,0,1,0,0,0
84,40,21,71,100,50,0,1,0,0,0
84,42,22,69,96,49,0,1,0,0,0
90,45,14,72,96,51,0,1,0,0,0
87,45,12,73,96,54,0,1,0,0,0
90,42,13,72,102,46,0,1,0,0,0
83,39,17,75,99,51,0,1,0,0,0
80,36,19,78,97,45,0,1,0,0,0
84,42,16,75,101,45,0,1,0,0,0
87,45,22,68,96,44,0,1,0,0,0
81,38,18,73,102,47,0,1,0,0,0
81,38,13,78,95,53,0,1,0,0,0
86,45,19,73,103,44,0,1,0,0,0
83,38,12,73,105,50,0,1,0,0,0
86,38,21,75,104,53,0,1,0,0,0
88,46,14,77,99,49,0,1,0,0,0
80,42,13,71,99,53,0,1,0,0,0
81,38,15,72,96,46,0,1,0,0,0
82,42,15,68,103,51,0,1,0,0,0
84,45,18,76,100,52,0,1,0,0,0
89,38,14,69,97,50,0,1,0,0,0
88,46,14,74,103,53,0,1,0,0,0
85,36,16,73,104,45,0,1,0,0,0
83,46,12,68,103,46,0,1,0,0,0
90,42,21,72,95,54,0,1,0,0,0
81,37,16,78,105,53,0,1,0,0,0
87,37,15,76,104,45,0,1,0,0,0
89,42,14,73,103,54,0,1,0,0,0
80,36,18,70,96,44,0,1,0,0,0
86,41,12,77,95,51,0,1,0,0,0
90,36,22,73,96,50,0,1,0,0,0
80,45,14,74,105,44,0,1,0,0,0
83,40,12,71,104,47,0,1,0,0,0
90,42,16,69,101,54,0,1,0,0,0
90,40,20,68,95,47,0,1,0,0,0
83,46,17,68,97,44,0,1,0,0,0
89,45,16,74,104,51,0,1,0,0,0
85,41,16,73,99,44,0,1,0,0,0
86,46,22,68,98,52,0,1,0,0,0
85,45,21,68,103,50,0,1,0,0,0
87,41,18,77,100,54,0,1,0,0,0
89,42,19,78,97,49,0,1,0,0,0
89,42,22,71,100,47,0,1,0,0,0
87,40,17,70,95,49,0,1,0,0,0
86,46,21,71,105,50,0,1,0,0,0
90,40,20,70,103,44,0,1,0,0,0
84,39,14,75,105,47,0,1,0,0,0
86,46,12,78,98,45,0,1,0,0,0
88,36,19,69,98,47,0,1,0,0,0
84,37,20,72,100,47,0,1,0,0,0
81,41,21,73,101,50,0,1,0,0,0
82,43,22,68,101,48,0,1,0,0,0
86,36,13,78,104,53,0,1,0,0,0
90,41,13,75,99,45,0,1,0,0,0
84,38,17,69,99,53,0,1,0,0,0
89,36,15,68,97,44,0,1,0,0,0
85,41,14,70,97,49,0,1,0,0,0
87,40,19,76,98,46,0,1,0,0,0
83,39,17,76,95,53,0,1,0,0,0
81,43,15,76,96,51,0,1,0,0,0
86,40,16,70,97,44,0,1,0,0,0
84,46,17,71,96,53,0,1,0,0,0
81,43,22,77,102,44,0,1,0,0,0
85,43,18,72,98,52,0,1,0,0,0
82,36,16,74,103,52,0,1,0,0,0
87,39,16,72,105,52,0,1,0,0,0
86,43,12,74,105,53,0,1,0,0,0
81,39,12,69,97,47,0,1,0,0,0
90,39,14,72,102,45,0,1,0,0,0
17,64,79,26,21,27,0,0,1,0,0
27,59,83,24,28,28,0,0,1,0,0
19,62,75,31,25,33,0,0,1,0,0
18,65,72,28,30,37,0,0,1,0,0
9,67,73,28,26,37,0,0,1,0,0
11,73,76,36,13,25,0,0,1,0,0
20,69,86,28,31,35,0,0,1,0,0
12,73,82,24,22,37,0,0,1,0,0
21,60,77,20,27,23,0,0,1,0,0
17,61,71,32,18,35,0,0,1,0,0
24,67,71,21,27,26,0,0,1,0,0
18,73,73,32,24,37,0,0,1,0,0
10,59,77,27,29,19,0,0,1,0,0
17,63,86,22,23,32,0,0,1,0,0
22,65,87,18,21,26,0,0,1,0,0
14,63,85,35,19,20,0,0,1,0,0
23,60,77,23,25,31,0,0,1,0,0
12,56,73,29,26,37,0,0,1,0,0
10,56,76,18,14,27,0,0,1,0,0
25,72,77,30,27,33,0,0,1,0,0
14,71,89,23,20,27,0,0,1,0,0
27,71,86,18,20,24,0,0,1,0,0
27,68,82,21,24,20,0,0,1,0,0
25,56,87,28,26,29,0,0,1,0,0
24,71,83,26,29,34,0,0,1,0,0
27,65,75,36,19,29,0,0,1,0,0
13,59,76,36,16,29,0,0,1,0,0
18,61,83,35,18,30,0,0,1,0,0
26,56,87,19,26,19,0,0,1,0,0
9,59,85,24,22,37,0,0,1,0,0
24,70,76,20,20,22,0,0,1,0,0
12,72,82,24,27,28,0,0,1,0,0
21,57,80,26,30,31,0,0,1,0,0
17,61,88,35,15,27,0,0,1,0,0
10,57,72,21,14,23,0,0,1,0,0
20,66,77,21,22,21,0,0,1,0,0
27,59,87,28,16,19,0,0,1,0,0
17,69,74,29,19,21,0,0,1,0,0
10,71,78,33,20,21,0,0,1,0,0
21,71,88,22,30,34,0,0,1,0,0
24,70,78,35,27,21,0,0,1,0,0
14,74,81,20,19,37,0,0,1,0,0
25,72,89,19,14,36,0,0,1,0,0
21,58,81,35,29,27,0,0,1,0,0
27,70,84,33,15,19,0,0,1,0,0
11,56,80,31,28,34,0,0,1,0,0
23,62,81,34,25,24,0,0,1,0,0
20,57,82,22,31,23,0,0,1,0,0
18,67,86,25,24,31,0,0,1,0,0
23,69,85,35,29,27,0,0,1,0,0
15,71,74,20,14,29,0,0,1,0,0
16,57,85,33,23,19,0,0,1,0,0
12,60,74,33,30,24,0,0,1,0,0
26,61,80,26,17,23,0,0,1,0,0
14,69,80,36,22,36,0,0,1,0,0
16,67,78,18,23,20,0,0,1,0,0
15,63,80,35,15,30,0,0,1,0,0
13,64,88,29,21,35,0,0,1,0,0
22,61,85,25,31,20,0,0,1,0,0
22,63,89,25,25,23,0,0,1,0,0
15,68,74,33,31,32,0,0,1,0,0
20,58,86,28,23,22,0,0,1,0,0
16,59,81,20,27,31,0,0,1,0,0
17,62,80,35,28,26,0,0,1,0,0
24,71,76,29,20,32,0,0,1,0,0
21,68,74,23,23,29,0,0,1,0,0
24,57,75,36,30,28,0,0,1,0,0
15,59,74,27,17,34,0,0,1,0,0
17,57,86,28,25,37,0,0,1,0,0
23,66,79,32,14,22,0,0,1,0,0
20,63,76,35,16,19,0,0,1,0,0
23,66,85,25,28,37,0,0,1,0,0
11,62,89,24,24,23,0,0,1,0,0
22,71,74,30,20,29,0,0,1,0,0
15,59,77,35,23,32,0,0,1,0,0
22,61,72,35,22,36,0,0,1,0,0
17,65,80,19,21,28,0,0,1,0,0
23,69,78,29,18,25,0,0,1,0,0
18,71,89,33,15,34,0,0,1,0,0
10,74,71,23,18,31,0,0,1,0,0
16,70,79,29,27,28,0,0,1,0,0
12,56,85,29,16,34,0,0,1,0,0
16,74,73,34,15,31,0,0,1,0,0
19,65,86,21,28,22,0,0,1,0,0
9,59,84,20,23,27,0,0,1,0,0
24,71,71,32,20,28,0,0,1,0,0
16,56,73,25,22,24,0,0,1,0,0
21,59,81,20,16,23,0,0,1,0,0
14,73,82,31,17,21,0,0,1,0,0
26,67,79,20,18,19,0,0,1,0,0
24,64,85,22,25,25,0,0,1,0,0
13,62,73,22,28,30,0,0,1,0,0
21,70,84,23,20,27,0,0,1,0,0
25,57,88,26,13,36,0,0,1,0,0
15,69,77,27,21,33,0,0,1,0,0
9,69,73,24,14,23,0,0,1,0,0
13,62,84,32,18,22,0,0,1,0,0
17,63,75,23,14,21,0,0,1,0,0
14,64,84,21,26,29,0,0,1,0,0
20,72,73,30,19,26,0,0,1,0,0
12,71,86,35,25,30,0,0,1,0,0
23,74,88,33,30,37,0,0,1,0,0
23,70,74,30,23,26,0,0,1,0,0
21,69,80,30,14,35,0,0,1,0,0
22,66,77,28,29,27,0,0,1,0,0
16,60,84,36,14,33,0,0,1,0,0
25,56,77,25,27,28,0,0,1,0,0
27,61,77,30,23,24,0,0,1,0,0
10,64,78,24,18,20,0,0,1,0,0
21,61,85,23,20,28,0,0,1,0,0
14,74,81,28,18,19,0,0,1,0,0
23,68,87,30,17,22,0,0,1,0,0
14,67,82,25,13,33,0,0,1,0,0
23,68,73,32,20,26,0,0,1,0,0
12,64,87,27,29,24,0,0,1,0,0
17,68,71,23,13,24,0,0,1,0,0
23,66,78,31,17,23,0,0,1,0,0
25,71,79,33,18,27,0,0,1,0,0
14,74,75,28,29,23,0,0,1,0,0
19,66,85,32,29,33,0,0,1,0,0
9,56,87,22,25,20,0,0,1,0,0
24,67,71,32,25,22,0,0,1,0,0
18,70,72,33,24,36,0,0,1,0,0
22,70,74,22,13,22,0,0,1,0,0
22,56,77,35,26,25,0,0,1,0,0
13,58,77,28,21,32,0,0,1,0,0
21,67,81,26,18,34,0,0,1,0,0
15,62,84,20,24,32,0,0,1,0,0
14,62,79,33,19,29,0,0,1,0,0
20,57,81,32,23,31,0,0,1,0,0
20,57,85,25,20,21,0,0,1,0,0
14,65,83,31,29,23,0,0,1,0,0
19,64,71,33,29,22,0,0,1,0,0
14,60,76,21,20,29,0,0,1,0,0
13,71,80,18,14,19,0,0,1,0,0
11,59,79,31,14,37,0,0,1,0,0
12,74,74,22,19,36,0,0,1,0,0
11,67,72,22,27,24,0,0,1,0,0
27,74,85,25,26,30,0,0,1,0,0
14,74,78,28,15,31,0,0,1,0,0
11,72,88,33,31,33,0,0,1,0,0
17,66,78,32,17,35,0,0,1,0,0
9,71,72,36,23,21,0,0,1,0,0
26,70,80,21,13,36,0,0,1,0,0
17,74,75,21,20,28,0,0,1,0,0
11,73,77,22,29,23,0,0,1,0,0
23,61,72,22,13,32,0,0,1,0,0
25,72,88,31,25,29,0,0,1,0,0
15,69,80,32,31,27,0,0,1,0,0
20,73,76,27,21,25,0,0,1,0,0
14,62,86,33,26,27,0,0,1,0,0
19,73,73,24,30,35,0,0,1,0,0
16,62,84,18,17,28,0,0,1,0,0
9,74,72,33,19,23,0,0,1,0,0
16,68,86,36,24,23,0,0,1,0,0
17,74,83,33,21,26,0,0,1,0,0
15,68,81,26,27,31,0,0,1,0,0
23,61,71,23,16,27,0,0,1,0,0
15,71,87,35,19,22,0,0,1,0,0
18,71,88,21,15,23,0,0,1,0,0
21,59,76,26,31,31,0,0,1,0,0
